id,iso3,cntry,name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
214022,DOM,Dominican Republic,San Juan,0.257,0.7779029152678497,2.064537784541481,0.018,0.0555032967032967,Low-Low,Low-Low,Not-Significant,-0.8672580943782766,0.05312027014742184,Not-Significant
214023,DOM,Dominican Republic,San Pedro De Macorís,0.118,1.5534610964424584,1.631239476743796,0.053,0.12290743801652891,Low-Low,Not-Significant,Not-Significant,-1.0432494746740217,0.12078808196234388,Not-Significant
214024,DOM,Dominican Republic,Sánchez Ramírez,0.267,0.6048126598383847,1.2770889567249286,0.111,0.1968811630847029,Low-Low,Not-Significant,Not-Significant,-0.7518301583445689,0.19688116562200708,Not-Significant
214026,DOM,Dominican Republic,Santiago Rodríguez,0.236,0.9460302568872652,2.1599876903757877,0.011,0.040506561679790026,Low-Low,Low-Low,Low-Low,-0.925213543432858,0.04050656146030101,Cold-Spot
214027,DOM,Dominican Republic,Valverde,0.263,0.735213151715733,1.5025132096383373,0.075,0.15542836041358934,Low-Low,Not-Significant,Not-Significant,-0.8549425614541781,0.15565829020897312,Not-Significant
218001,ECU,Ecuador,Azuay,0.326,-0.015191714733521102,-0.09681725314438197,0.459,0.47561078286558345,Low-High,Not-Significant,Not-Significant,-0.032699627992305295,0.4756107739719013,Not-Significant
218002,ECU,Ecuador,Bolívar,0.412,0.03826176716158857,0.5366690928915359,0.294,0.3716054054054054,High-High,Not-Significant,Not-Significant,0.24142964603586484,0.37160540510405293,Not-Significant
218004,ECU,Ecuador,Carchi,0.309,-0.033801696945957534,-0.1360416188019806,0.429,0.4605103289977046,Low-High,Not-Significant,Not-Significant,-0.06148416768941357,0.4619503376409241,Not-Significant
218005,ECU,Ecuador,Cotopaxi,0.426,0.03759414137509528,0.32399362954903976,0.374,0.42799510603588903,High-High,Not-Significant,Not-Significant,0.17381495547218656,0.4276463064898683,Not-Significant
218006,ECU,Ecuador,Chimborazo,0.445,0.009692692012578398,0.07811962371474379,0.47,0.4841483113069016,High-High,Not-Significant,Not-Significant,0.08321127011685751,0.4841483100789234,Not-Significant
218007,ECU,Ecuador,El Oro,0.346,0.061650426405439065,0.3808891050952174,0.361,0.42031784232365144,Low-Low,Not-Significant,Not-Significant,-0.22375942504224133,0.4199693217305204,Not-Significant
218009,ECU,Ecuador,"Cañar, Esmeraldas, Guayas, Manabí, Manga del Cura [Disputed canton], Pichincha, El Piedrero [Disputed canton], Los Ríos, Santa Elena, Santo Domingo de las Tsáchilas, Galápagos",0.425,-0.013625325596930872,-0.13654813753310788,0.44,0.46590188679245287,High-Low,Not-Significant,Not-Significant,-0.029705263124485494,0.4648430299758911,Not-Significant
218010,ECU,Ecuador,"Imbabura, Las Golondrinas [Disputed canton]",0.326,0.0424420164150108,0.18119758803816505,0.441,0.4662569706103994,Low-Low,Not-Significant,Not-Significant,-0.1821763903455791,0.46413443426621287,Not-Significant
218011,ECU,Ecuador,Loja,0.379,0.025906112070085262,0.7006044615576235,0.253,0.33645402843601896,Low-Low,Not-Significant,Not-Significant,-0.2864157049645836,0.33645401670469494,Not-Significant
218014,ECU,Ecuador,Morona Santiago,0.386,0.0006081279986767555,0.03581821856443303,0.481,0.48998481561822127,Low-Low,Not-Significant,Not-Significant,-0.020746316624797107,0.4897264214056843,Not-Significant
218016,ECU,Ecuador,Pastaza,0.31,-0.045369225212070007,-0.1774181207451215,0.415,0.45523455824863174,Low-High,Not-Significant,Not-Significant,-0.04255205433158366,0.4552345490949614,Not-Significant
218018,ECU,Ecuador,Tungurahua,0.424,0.007567689469535702,0.0914997102633614,0.457,0.4742389053254438,High-High,Not-Significant,Not-Significant,0.06099501464593483,0.474589920260128,Not-Significant
218019,ECU,Ecuador,Zamora Chinchipe,0.394,-0.002345596290303653,-0.2406659547060596,0.415,0.45523455824863174,High-Low,Not-Significant,Not-Significant,-0.08679138044324733,0.4552345490949614,Not-Significant
218021,ECU,Ecuador,"Napo, Orellana, Sucumbíos",0.395,0.0013064569787629803,0.16879229010806587,0.45,0.4708053691275168,High-High,Not-Significant,Not-Significant,0.04331860268428729,0.4704545329917561,Not-Significant
222001,SLV,El Salvador,Ahuachapán,0.492,0.2066070747675147,0.5195931046354472,0.305,0.3790212577502214,High-High,Not-Significant,Not-Significant,0.3976195812379617,0.38026394328783847,Not-Significant
222002,SLV,El Salvador,Santa Ana,0.4,0.03110814795331773,1.2860178729715435,0.102,0.18854545454545454,High-High,Not-Significant,Not-Significant,0.440723946472307,0.18829736489998666,Not-Significant
222003,SLV,El Salvador,Sonsonate,0.44,0.10581325505947518,0.5469177728069827,0.298,0.37530879712746856,High-High,Not-Significant,Not-Significant,0.3215530543538237,0.3740493602234756,Not-Significant
222004,SLV,El Salvador,Chalatenango,0.479,0.19027658465328898,0.8348717851073972,0.209,0.29322699999999996,High-High,Not-Significant,Not-Significant,0.35367003237157063,0.2926417254134566,Not-Significant
222005,SLV,El Salvador,La Libertad,0.421,0.04971603298380077,0.5508839169928356,0.294,0.3716054054054054,High-High,Not-Significant,Not-Significant,0.23647123539452877,0.3697436768763332,Not-Significant
222006,SLV,El Salvador,San Salvador,0.371,-0.045711177195384804,-0.6854107602035092,0.256,0.33915769593956563,Low-High,Not-Significant,Not-Significant,0.24819111509223254,0.3398816722379604,Not-Significant
222007,SLV,El Salvador,Cuscatlán,0.423,0.08251613145448945,0.8473393436506811,0.197,0.2834632653061225,High-High,Not-Significant,Not-Significant,0.3514162093527814,0.2834779442579318,Not-Significant
222008,SLV,El Salvador,La Paz,0.443,0.07122846666623657,0.4098448062013949,0.345,0.4084683544303797,High-High,Not-Significant,Not-Significant,0.23196358935694988,0.40965230402061203,Not-Significant
222009,SLV,El Salvador,Cabañas,0.473,0.3201485724348309,1.389750972918705,0.083,0.16541051136363638,High-High,Not-Significant,Not-Significant,0.5729348146280706,0.16517588023809676,Not-Significant
222010,SLV,El Salvador,San Vicente,0.467,0.23185187265533128,1.0047296333434859,0.167,0.25467500000000004,High-High,Not-Significant,Not-Significant,0.4607266257640611,0.25536727716385477,Not-Significant
222011,SLV,El Salvador,Usulután,0.484,0.3167549182206026,0.7080825662192575,0.256,0.33915769593956563,High-High,Not-Significant,Not-Significant,0.5452449889686592,0.33947827699391736,Not-Significant
222012,SLV,El Salvador,San Miguel,0.463,0.3374093417273262,1.6649583279316666,0.054,0.1242,High-High,Not-Significant,Not-Significant,0.6617998365117618,0.12379412085816167,Not-Significant
222013,SLV,El Salvador,Morazán,0.509,0.4894547203515005,1.209733482465732,0.135,0.22361865407319953,High-High,Not-Significant,Not-Significant,0.6498223770404817,0.22361866295900648,Not-Significant
222014,SLV,El Salvador,La Unión,0.508,0.40760816443936676,1.018963107205737,0.17,0.25673842841765343,High-High,Not-Significant,Not-Significant,0.5700370421753412,0.2564623682889887,Not-Significant
