iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
ERI,,,,,0.0,0.006180010805819042,0.591529924417422,0.4499207159997727,0.001131348740229036,0.0012531087918949534,0.078,0.24355357142857212,0.0,0.0,1.0,1.0
ESP,0.0,0.0,,,0.2738669434115529,0.22198020958589262,0.304735938404402,0.3671896731798511,4.094263036747648e-05,5.0902567201705974e-05,0.08,0.22999999999999737,0.0,0.0,3.8895498849102664e-05,3.7382825652758066e-05
EST,0.0,0.0,,,0.1293410311285606,0.10335058682665085,0.33437359477242,0.3677441293878575,0.0,0.0,0.08,0.16383928571428227,0.0,0.0,0.0017196892026107213,0.002104628256042909
ETH,0.973,0.973,0.6525000000000001,0.6525000000000001,0.13288967865587709,0.09314958645291266,0.522363326258994,0.261181663129497,1.0,1.0,0.101,0.21799999999999836,0.2784093962546519,0.3384994549533715,0.025174510568385298,0.02294205313936703
FIN,0.0,0.0,,,0.04581923094511639,0.03712448625757622,0.280200400598793,0.3797328830917568,0.0,0.0,0.08,0.2651785714285697,0.0,0.0,1.779387609519083e-05,1.2580409984664673e-05
FJI,0.134,0.134,,,0.32431114231080643,0.2858994550271902,0.453172352239003,0.2265861761195015,0.0,0.0,0.186,0.1868392857142835,0.0,0.0,0.005943254836431291,0.007505150759749029
FRA,0.0,0.0,,,0.09163504780840223,0.07538148743746068,0.304166282673451,0.39207770613618853,0.0007002019338614635,0.0008705370337285548,0.066,0.2599642857142849,0.0,0.0,2.2756562850497567e-05,2.2977271659413376e-05
FSM,,,,,0.5,0.5045741492972968,0.62118925547334,0.4922141614428891,0.0,0.0,0.271,0.5492499999999969,,0.0,0.0,0.0
GAB,0.10400000000000009,0.10400000000000009,0.6,0.6,0.0032296790171692886,0.004381775301465957,0.436301650721289,0.4705157363140104,0.0,0.0,0.137,0.1441249999999888,0.0,0.0,0.00734161181463848,0.006175733056757453
GBR,0.0,0.0,,,0.061195432352006474,0.041864591995269984,0.288055598949617,0.4032468826164959,5.778175829890503e-05,4.5255152727698326e-05,0.103,0.30864285714285805,0.0,0.0,9.851789789963308e-05,7.530825157144296e-05
