GEOLEVEL1,gdis_events,gdis_years
380019,32,18
380020,7,6
384001,11,10
384006,1,1
384008,1,1
384009,10,9
388001,16,15
388002,11,11
388003,16,15
388004,13,13
388005,9,9
388006,11,10
388007,9,8
388008,7,7
388009,7,7
388010,10,9
388011,13,11
388012,11,11
388013,16,14
388014,18,16
400011,3,2
400012,1,1
400013,2,2
400014,1,1
400021,1,1
400022,1,1
400023,1,1
400024,1,1
400031,2,2
400032,2,2
400033,4,4
400034,1,1
404001,13,12
404002,19,11
404003,64,17
404004,58,15
404005,50,15
404006,40,13
404007,138,18
404008,30,12
417001,3,3
417002,3,3
417003,13,10
417004,5,5
417005,6,5
417006,30,16
417007,3,3
417008,1,1
418002,2,2
418003,5,5
418004,5,5
418005,5,5
418006,6,6
418007,6,6
418008,7,5
418009,4,4
418010,11,9
418011,12,10
418012,17,11
418013,12,12
418014,5,5
418015,4,4
418016,9,9
418017,7,6
418018,2,2
426001,4,3
426002,4,4
426003,5,4
426004,5,5
426005,4,4
426006,5,4
426007,4,4
426008,3,3
426009,5,4
426010,3,2
430012,2,2
430021,1,1
430027,1,1
430030,8,6
430033,1,1
454102,2,2
454103,6,6
454104,6,5
454105,8,6
454201,4,4
454202,8,8
454203,2,2
454204,4,4
454205,15,12
454206,5,5
454207,4,4
454208,8,7
454209,8,8
